code,type,2012,2013,2014,2015,2016,same text over time?
23 02,program,შემოსავლების მობილიზება და გადამხდელთა მომსახურების გაუმჯობესება,შემოსავლების მობილიზება და გადამხდელთა მომსახურების გაუმჯობესება,შემოსავლების მობილიზება და გადამხდელთა მომსახურების გაუმჯობესება,შემოსავლების მობილიზება და გადამხდელთა მომსახურების გაუმჯობესება,შემოსავლების მობილიზება და გადამხდელთა მომსახურების გაუმჯობესება,true
23 03,program,ეკონომიკური დანაშაულის პრევენცია,ეკონომიკური დანაშაულის პრევენცია,ეკონომიკური დანაშაულის პრევენცია,ეკონომიკური დანაშაულის პრევენცია,ეკონომიკური დანაშაულის პრევენცია,true
23 04,program,ფინანსების მართვის ელექტრონული და ანალიტიკური უზრუნველყოფა,ფინანსების მართვის ელექტრონული და ანალიტიკური უზრუნველყოფა,ფინანსების მართვის ელექტრონული და ანალიტიკური უზრუნველყოფა,ფინანსების მართვის ელექტრონული და ანალიტიკური უზრუნველყოფა,ფინანსების მართვის ელექტრონული და ანალიტიკური უზრუნველყოფა,true
23 05,program,საფინანსო სექტორში დასაქმებულთა კვალიფიკაციის ამაღლება,საფინანსო სექტორში დასაქმებულთა კვალიფიკაციის ამაღლება,საფინანსო სექტორში დასაქმებულთა კვალიფიკაციის ამაღლება,საფინანსო სექტორში დასაქმებულთა კვალიფიკაციის ამაღლება,საფინანსო სექტორში დასაქმებულთა კვალიფიკაციის ამაღლება,true
24 00,spending agency,საქართველოს ეკონომიკისა და მდგრადი განვითარების სამინისტრო,საქართველოს ეკონომიკისა და მდგრადი განვითარების სამინისტრო,საქართველოს ეკონომიკისა და მდგრადი განვითარების სამინისტრო,საქართველოს ეკონომიკისა და მდგრადი განვითარების სამინისტრო,საქართველოს ეკონომიკისა და მდგრადი განვითარების სამინისტრო,true
24 01,program,ეკონომიკური პოლიტიკა და სახელმწიფო ქონების მართვა,ეკონომიკური პოლიტიკა და სახელმწიფო ქონების მართვა,ეკონომიკური პოლიტიკა და სახელმწიფო ქონების მართვა,"ეკონომიკური და სექტორული (ტრანსპორტი,მშენებლობა) პოლიტიკა და მისი განხორციელების კოორდინაცია","ეკონომიკური და სექტორული (ტრანსპორტი, მშენებლობა) პოლიტიკა და მისი განხორციელების კოორდინაცია",false
24 01 01,sub-program,ეკონომიკური პოლიტიკის შემუშავება განხორციელება და სახელმწიფო ქონების პრივატიზება,ეკონომიკური პოლიტიკის შემუშავება და განხორციელება,ეკონომიკური პოლიტიკის შემუშავება და განხორციელება,ეკონომიკური პოლიტიკის შემუშავება და განხორციელება,ეკონომიკური პოლიტიკის შემუშავება და განხორციელება,false
24 01 02,sub-program,სახელმწიფო ქონების მართვა,სახელმწიფო ქონების მართვა,სახელმწიფო ქონების მართვა,სახელმწიფო ქონების მართვა,სახელმწიფო ქონების მართვა,true
24 01 03,sub-program,სახელმწიფო ობიექტების მოვლა შენახვა,,"ელექტრონული კომუნიკაციების, საინფორმაციო ტექნოლოგიებისა და საფოსტო კავშირის განვითარება",მეწარმეობის განვითარება,მეწარმეობის განვითარება,false
24 01 04,sub-program,,,,საქართველოში ციფრულ მაუწყებლობაზე გადასვლა,საქართველოში ინოვაციებისა და ტექნოლოგიების განვითარება,false
24 01 05,sub-program,,,,საქართველოში ინოვაციებისა და ტექნოლოგიების განვითარება,,true
24 02,program,ტექნიკური და სამშენებლო სფეროს რეგულირება,ტექნიკური და სამშენებლო სფეროს რეგულირება,ტექნიკური და სამშენებლო  სფეროს რეგულირება,ტექნიკური და სამშენებლო სფეროს რეგულირება,ტექნიკური და სამშენებლო სფეროს რეგულირება,false
24 03,program,ინვესტიციების მოზიდვის ხელშეწყობა,სტანდარტიზაციისა და მეტროლოგიის სფეროს განვითარება,სტანდარტიზაციისა და მეტროლოგიის სფეროს განვითარება,სტანდარტიზაციისა და მეტროლოგიის სფეროს განვითარება,სტანდარტიზაციისა და მეტროლოგიის სფეროს განვითარება,false
